id,gel_num,gel_name,gel_hex,manufacturer_id
400,L136,Pale Lavender,#F0BEE6,3
401,L169,Lilac Tint,#FADCF0,3
402,L702,Special Pale Lavender,#E6D2F0,3
403,L137,Special Lavender,#C8B4E6,3
404,L194,Surprise Pink,#BE8CF0,3
405,L58,Lavender,#B46EF0,3
406,L180,Dark Lavender,#A064E6,3
407,L343,Special Medium Lavender,#8C00D2,3
408,L700,Perfect Lavender,#7D00CD,3
409,L181,Congo Blue,#5000AA,3
410,L707,Ultimate Violet,#6400B4,3
411,L706,King Fals Lavender,#6E46C8,3
412,L709,Electric Lilac,#C8C8FA,3
413,L142,Pale Violet,#AAAAF0,3
414,L199,Regal Blue,#6464E6,3
415,L508,Midnight Maya,#5A46C3,3
416,L799,Special KH Lavender,#3C00B4,3
417,L71,Tokyo Blue,#0000B4,3
418,L713,J.Winter Blue,#003CA0,3
419,L710,Spir Special Blue,#8CA0F0,3
420,L198,Palace Blue,#6478C8,3
421,L716,Mikkel Blue,#0064D2,3
422,L195,Zenith Blue,#006ED2,3
423,L715,Cabana Blue,#3C6EDC,3
424,L723,Virgin Blue,#5082DC,3
425,L721,Berry Blue,#0082E6,3
426,L120,Deep Blue,#005FBE,3
427,L363,Special Medium Blue,#006EC3,3
428,L85,Deeper Blue,#006EB9,3
429,L119,Dark Blue,#0078C8,3
430,L722,Bray Blue,#008CD2,3
431,L79,Just Blue,#3C8CD2,3
432,L714,Elysian Blue,#5A91D2,3
433,L75,Evening Blue,#64A0F0,3
434,L525,Argent Blue,#8EB4FA,3
435,L197,Alice Blue,#82AAE6,3
436,L712,Bedford Blue,#A0BEF0,3
437,L200,Double CTB,#91BEF5,3
438,L719,Colour Wash Blue,#9BC3F0,3
439,L711,Cold Blue,#AABEDC,3
440,L500,Double New Colour Blue,#B4D2FF,3
441,L501,New Colour Blue (Robertson Blue),#D7EBFA,3
442,L708,Cool Lavender,#DCEBFA,3
443,L53,Paler Lavender,#E6E6FA,3
444,L502,Half New Colour Blue,#E1F0FF,3
445,L503,Quarter New Colour Blue,#F4FAFF,3
446,L203,Quarter CTB,#EBFCFF,3
447,L600,Arctic White,#98a8aa,3
448,L601,Silver,#90a0a0,3
449,L61,Mist Blue,#DCF5FF,3
450,L63,Pale Blue,#D2F5FF,3
451,L202,Half CTB,#D7F0FF,3
452,L281,Three Quarter CTB,#CDE6FA,3
453,L201,Full CTB,#C3E1FA,3
454,L283,One and a Half CTB,#AFD9F5,3
455,L366,Cornflower,#AAD2F0,3
456,L174,Dark Steel Blue,#AFE1FA,3
457,L161,Slate Blue,#7DD2F5,3
458,L68,Sky Blue,#46B4F0,3
459,L132,Medium Blue,#00A0DC,3
460,L165,Daylight Blue,#5AC8EB,3
461,L352,Glacier Blue,#5AC8E1,3
462,L143,Pale Navy Blue,#64BED2,3
463,L196,True Blue,#78D2E6,3
464,L727,QFD Blue,#00A5B4,3
465,L141,Bright Blue,#00D2E6,3
466,L183,Moonlight Blue,#00D7E3,3
467,L118,Light Blue,#00E1EB,3
468,L724,Ocean Blue,#69E1EB,3
469,L144,No Colour Blue,#5AE1E6,3
470,L725,Old Steel Blue,#BEF2F3,3
471,L117,Steel Blue,#B4FAF5,3
472,L140,Summer Blue,#87F0EB,3
473,L353,Lighter Blue,#61E8E3,3
474,L172,Lagoon Blue,#00DCDC,3
475,L354,Special Steel Blue,#00F0D7,3
476,L729,Scuba Blue,#00AFAA,3
477,L116,Medium Blue-Green,#00C8B9,3
478,L115,Peacock Blue,#00EBC8,3
479,L327,Forest Green,#008C50,3
480,L124,Dark Green,#00DC78,3
481,L735,Velvet Green,#00BE78,3
482,L323,Jade,#00E1AA,3
483,L322,Soft Green,#41F5BE,3
484,L131,Marine Blue,#64FAD2,3
485,L219,LEE Fluorescent Green,#9BDCAF,3
486,L241,LEE Fluorescent 5700 Kelvin,#AADCC3,3
487,L728,Steel Green,#C8EBD2,3
488,L504,Waterfront Green,#D2F5DC,3
489,L730,Liberty Green,#DCFFE6,3
490,L242,LEE Fluorescent 4300 Kelvin,#B9E6B9,3
491,L243,LEE Fluorescent 3600 Kelvin,#CDF5AF,3
492,L213,White Flame Green,#E6FCDC,3
493,L246,Quarter Plus Green,#F5FFE6,3
494,L731,Dirty Ice,#E1FAD7,3
495,L733,Damp Squib,#EBF7CF,3
496,L245,Half Plus Green,#F0FCD2,3
497,L244,LEE Plus Green,#E6FABE,3
498,L138,Pale Green,#DCFFA0,3
499,L88,Lime Green,#DCFF64,3
500,L505,Sally Green,#E3FF5A,3
501,L738,JAS Green,#AAFF00,3
502,L121,LEE Green,#B4FF64,3
503,L122,Fern Green,#78FA6E,3
504,L89,Moss Green,#5ADC5A,3
505,L139,Primary Green,#4BC300,3
506,L90,Dark Yellow Green,#00BE00,3
507,L736,Twickenham Green,#00AA00,3
508,L740,Aurora Borealis Green,#5A6E00,3
509,L741,Mustard Yellow,#826400,3
510,L642,Half Mustard Yellow,#968200,3
511,L643,Quarter Mustard Yellow,#B4A000,3
512,L650,Industry Sodium,#C8A862,3
513,L746,Brown,#6E3C00,3
514,L653,LO Sodium,#965500,3
515,L511,Bacon Brown,#963C00,3
516,L742,Bram Brown,#E19B50,3
517,L208,Full CTO + .6 ND,#E6A550,3
518,L207,Full CTO + .3 ND,#F0B46B,3
519,L232,Super Correction W.F. Green,#EDBE83,3
520,L230,Super Correction LCT Yellow,#DCBE8C,3
521,L156,Chocolate,#E1B48C,3
522,L237,CID (to Tungsten),#FCB292,3
523,L747,Easy White,#F5B99F,3
524,L238,CSI (to Tungsten),#F5B9AA,3
525,L152,Pale Gold,#FFD2C1,3
526,L162,Bastard Amber,#FCDED8,3
527,L506,Marlene,#FFDACE,3
528,L9,Pale Amber Gold,#FCD7B3,3
529,L205,Half CTO,#FCD9B1,3
530,L442,Half CT Straw,#FCDCAD,3
531,L13,Straw Tint,#FCD89B,3
532,L764,Sun Colour Straw,#FCE6B4,3
533,L103,Straw,#FCEACC,3
534,L206,Quarter CTO,#FCEAD6,3
535,L443,Quarter CT Straw,#FCEFDB,3
536,L763,Wheat,#FCF0D2,3
537,L212,LCT Yellow (Y1),#FFFAD7,3
538,L7,Pale Yellow,#FAFAD2,3
539,L765,LEE Yellow,#FFE591,3
540,L102,Light Amber,#FFDC5F,3
541,L550,ALD Gold,#e3ca3c,3
542,L513,Ice and a Slice,#f5ff7d,3
543,L514,Double G&T,#f5ff5a,3
544,L100,Spring Yellow,#F5FF00,3
545,L10,Medium Yellow,#FFFF00,3
546,L101,Yellow,#FFF500,3
547,L767,Oklahoma Yellow,#FFE600,3
548,L104,Deep Amber,#FFDC00,3
549,L15,Deep Straw,#FFCD00,3
550,L768,Egg Yolk Yellow,#FFC600,3
551,L179,Chrome Orange,#FFBE00,3
552,L20,Medium Amber,#FFBE55,3
553,L770,Burnt Yellow,#FFB400,3
554,L105,Orange,#FFA000,3
555,L777,Rust,#F58200,3
556,L512,Amber Delight,#cc6100,3
557,L652,Urban Sodium,#FF8246,3
558,L287,Double CTO,#FFA055,3
